categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-3800,3800 Std Panel Mover in Carton (NO CASTERS) add casters for model numbers,[RPP-3800] 3800 Std Panel Mover in Carton (NO CASTERS) add casters for model numbers,Pack_0046,1,40,28,6,36
Finished Goods,RPP-3800,3800 Std Panel Mover in Carton (NO CASTERS) add casters for model numbers,[RPP-3800] 3800 Std Panel Mover in Carton (NO CASTERS) add casters for model numbers,Pack_0112,2,49,45,3,38
Finished Goods,RPP-3840,"Panel Mover Base and 3 45"" Uprights. No Casters","[RPP-3840] Panel Mover Base and 3 45"" Uprights. No Casters",Pack_0122,1,40,28,6,34
Finished Goods,RPP-3840,"Panel Mover Base and 3 45"" Uprights. No Casters","[RPP-3840] Panel Mover Base and 3 45"" Uprights. No Casters",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3841,"Panel Mover Base and 2 45"" Uprights. No Casters.","[RPP-3841] Panel Mover Base and 2 45"" Uprights. No Casters.",Pack_0122,1,40,28,6,34
Finished Goods,RPP-3841,"Panel Mover Base and 2 45"" Uprights. No Casters.","[RPP-3841] Panel Mover Base and 2 45"" Uprights. No Casters.",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3843-B,3843 with Brakes,[RPP-3843-B] 3843 with Brakes,Pack_0051,1,42,31,6,50
Finished Goods,RPP-3843-B,3843 with Brakes,[RPP-3843-B] 3843 with Brakes,Pack_0124,2,50,40,4,35
Finished Goods,RPP-3843-B,3843 with Brakes,[RPP-3843-B] 3843 with Brakes,Pack_0101,3,15,13,9,15
Finished Goods,RPP-3845,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3845] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3845,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3845] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3845-B,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes","[RPP-3845-B] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3845-B,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes","[RPP-3845-B] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3845US,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3845US] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3845US,"Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3845US] Panel Mover with 5"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3846,"Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3846] Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0125,1,40,29,9,59
Finished Goods,RPP-3846,"Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights","[RPP-3846] Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3846-B,"Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes","[RPP-3846-B] Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3846-B,"Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes","[RPP-3846-B] Panel Mover with 6"" Phenolic Casters, 2 Fixed and 2 Swivel, and 3 45"" Uprights with Brakes",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3847,"Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights","[RPP-3847] Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights",Pack_0126,1,40,29,9,57
Finished Goods,RPP-3847,"Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights","[RPP-3847] Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights",Pack_0123,2,50,40,4,52
Finished Goods,RPP-3847-B,"Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights with Brakes","[RPP-3847-B] Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights with Brakes",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3847-B,"Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights with Brakes","[RPP-3847-B] Panel Mover with 5"" Phenolic Casters All Swivel, and 3 45"" Uprights with Brakes",Pack_0124,2,50,40,4,35
Finished Goods,RPP-3847US,"Panel Mover with 5"" Phenolic Casters, all swivel, and 3 45"" uprights","[RPP-3847US] Panel Mover with 5"" Phenolic Casters, all swivel, and 3 45"" uprights",Pack_0054,1,40,29,9,54
Finished Goods,RPP-3847US,"Panel Mover with 5"" Phenolic Casters, all swivel, and 3 45"" uprights","[RPP-3847US] Panel Mover with 5"" Phenolic Casters, all swivel, and 3 45"" uprights",Pack_0124,2,50,40,4,35
