categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-920L,"Hanging Folded Chair Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic Casters, al...","[RPP-920L] Hanging Folded Chair Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic Casters, al...",,1,8,32,63,34
Finished Goods,RPP-920L,"Hanging Folded Chair Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic Casters, al...","[RPP-920L] Hanging Folded Chair Storage Truck Compact Size for Lifetime Chairs with 5"" Phenolic Casters, al...",,2,3,32,80,45
Finished Goods,RPP-935L,"Hanging Folded Chair and Table Storage Truck for Lifetime Chairs with 5"" Phenolic Casters, all s...","[RPP-935L] Hanging Folded Chair and Table Storage Truck for Lifetime Chairs with 5"" Phenolic Casters, all s...",,1,8,32,63,30
Finished Goods,RPP-935L,"Hanging Folded Chair and Table Storage Truck for Lifetime Chairs with 5"" Phenolic Casters, all s...","[RPP-935L] Hanging Folded Chair and Table Storage Truck for Lifetime Chairs with 5"" Phenolic Casters, all s...",,2,3,32,80,41
Finished Goods,RPP-3701,"Standard Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 Swivel","[RPP-3701] Standard Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 Swivel",,1,50,34,9,58
Finished Goods,RPP-3701,"Standard Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 Swivel","[RPP-3701] Standard Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 Swivel",,2,49,45,3,38
Finished Goods,RPP-3702,"Standard Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3702] Standard Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel",,1,50,34,9,62
Finished Goods,RPP-3702,"Standard Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3702] Standard Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel",,2,49,45,3,36
Finished Goods,RPP-3705,"Standard Round Folding Table Mover with 5"" Poly Casters, All Swivel","[RPP-3705] Standard Round Folding Table Mover with 5"" Poly Casters, All Swivel",,1,50,34,9,61
Finished Goods,RPP-3705,"Standard Round Folding Table Mover with 5"" Poly Casters, All Swivel","[RPP-3705] Standard Round Folding Table Mover with 5"" Poly Casters, All Swivel",,2,49,45,3,38
Finished Goods,RPP-3707,"Standard Round Folding Table Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel","[RPP-3707] Standard Round Folding Table Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel",,1,50,34,9,58
Finished Goods,RPP-3707,"Standard Round Folding Table Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel","[RPP-3707] Standard Round Folding Table Mover with 5"" Poly Casters, 2 Fixed and 2 Swivel",,2,49,45,3,38
Finished Goods,RPP-3708,"Standard Round Folding Table Mover with 5"" Phenolic Casters; All Swivel","[RPP-3708] Standard Round Folding Table Mover with 5"" Phenolic Casters; All Swivel",,1,50,34,9,61
Finished Goods,RPP-3708,"Standard Round Folding Table Mover with 5"" Phenolic Casters; All Swivel","[RPP-3708] Standard Round Folding Table Mover with 5"" Phenolic Casters; All Swivel",,2,49,45,3,38
Finished Goods,RPP-3709,"Standard Round Folding Table Mover with 6"" Phenolic Casters; All Swivel","[RPP-3709] Standard Round Folding Table Mover with 6"" Phenolic Casters; All Swivel",,1,50,34,9,64
Finished Goods,RPP-3709,"Standard Round Folding Table Mover with 6"" Phenolic Casters; All Swivel","[RPP-3709] Standard Round Folding Table Mover with 6"" Phenolic Casters; All Swivel",,2,49,45,3,38
Finished Goods,RPP-3713,"3701 NO UPRIGHTS, base and casters only, 5"" 2 Fixed & 2 Swivel","[RPP-3713] 3701 NO UPRIGHTS, base and casters only, 5"" 2 Fixed & 2 Swivel",,1,50,34,8,38
Finished Goods,RPP-3750,XL Round Folding Table Mover without Casters,[RPP-3750] XL Round Folding Table Mover without Casters,,1,50,34,5,38
Finished Goods,RPP-3750,XL Round Folding Table Mover without Casters,[RPP-3750] XL Round Folding Table Mover without Casters,,2,49,45,3,38
Finished Goods,RPP-3751,"XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel","[RPP-3751] XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel",,1,49,38,7,74
Finished Goods,RPP-3751,"XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel","[RPP-3751] XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel",,2,49,45,3,38
Finished Goods,RPP-3751,"XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel","[RPP-3751] XL Round Folding Table Mover with 8"" Air Free Casters; 2 Fixed and 2 Swivel",,3,12,13,14,24
Finished Goods,RPP-3751- Poly,"XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel","[RPP-3751- Poly] XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel",,1,49,38,7,74
Finished Goods,RPP-3751- Poly,"XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel","[RPP-3751- Poly] XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel",,2,49,45,3,38
Finished Goods,RPP-3751- Poly,"XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel","[RPP-3751- Poly] XL Round Folding Table mover with 8"" red poly casters, 2 Fixed & 2 swivel",,3,12,13,14,24
Finished Goods,RPP-3753,"XL Round Folding Table Mover with 8"" Air Free Casters, all swivel","[RPP-3753] XL Round Folding Table Mover with 8"" Air Free Casters, all swivel",,1,49,38,7,77
Finished Goods,RPP-3753,"XL Round Folding Table Mover with 8"" Air Free Casters, all swivel","[RPP-3753] XL Round Folding Table Mover with 8"" Air Free Casters, all swivel",,2,49,45,3,38
Finished Goods,RPP-3771,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3771] Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel",,1,50,34,9,57
Finished Goods,RPP-3771,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3771] Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel",,2,49,45,3,38
Finished Goods,RPP-3771US,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3771US] Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel",,1,50,34,9,57
Finished Goods,RPP-3771US,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3771US] Narrow Round Folding Table Mover with 5"" Phenolic Casters, 2 fixed and 2 swivel",,2,49,45,3,38
Finished Goods,RPP-3773,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, all swivel","[RPP-3773] Narrow Round Folding Table Mover with 5"" Phenolic Casters, all swivel",,1,50,25,5,59
Finished Goods,RPP-3773,"Narrow Round Folding Table Mover with 5"" Phenolic Casters, all swivel","[RPP-3773] Narrow Round Folding Table Mover with 5"" Phenolic Casters, all swivel",,2,49,45,3,38
Finished Goods,RPP-3773-P,"Narrow Round Table Mover, 5"" Poly Casters, all swivel","[RPP-3773-P] Narrow Round Table Mover, 5"" Poly Casters, all swivel",,1,50,25,5,59
Finished Goods,RPP-3773-P,"Narrow Round Table Mover, 5"" Poly Casters, all swivel","[RPP-3773-P] Narrow Round Table Mover, 5"" Poly Casters, all swivel",,2,49,45,3,38
Finished Goods,RPP-3774,"Narrow Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3774] Narrow Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel",,1,50,34,9,58
Finished Goods,RPP-3774,"Narrow Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel","[RPP-3774] Narrow Round Folding Table Mover with 6"" Phenolic Casters, 2 fixed and 2 swivel",,2,49,45,3,38
Finished Goods,RPP-3775,"Narrow Round Folding Table Mover with 6"" Phenolic Casters, all swivel","[RPP-3775] Narrow Round Folding Table Mover with 6"" Phenolic Casters, all swivel",,1,50,34,9,62
Finished Goods,RPP-3775,"Narrow Round Folding Table Mover with 6"" Phenolic Casters, all swivel","[RPP-3775] Narrow Round Folding Table Mover with 6"" Phenolic Casters, all swivel",,2,49,45,3,38
Finished Goods,RPP-3776,"Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel","[RPP-3776] Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel",,1,50,34,9,62
Finished Goods,RPP-3776,"Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel","[RPP-3776] Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel",,2,49,45,3,38
Finished Goods,RPP-3776,"Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel","[RPP-3776] Narrow Round Folding Table Mover with 8"" Poly Casters, all swivel",,3,15,13,9,15
Finished Goods,RPP-3776-2,"NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights","[RPP-3776-2] NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights",,1,50,34,9,62
Finished Goods,RPP-3776-2,"NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights","[RPP-3776-2] NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights",,2,49,45,3,38
Finished Goods,RPP-3776-2,"NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights","[RPP-3776-2] NARROW Round Folding Table Mover, 8"" casters, 2 swivel, 2 rigid & 2 std uprights",,3,15,13,9,15
Finished Goods,RPP-3777,"Narrow Panel Mover Base: 5"" Poly Casters; 2 Fixed & 2 Swivel; with 2 Uprights","[RPP-3777] Narrow Panel Mover Base: 5"" Poly Casters; 2 Fixed & 2 Swivel; with 2 Uprights",,1,50,34,9,62
Finished Goods,RPP-3777,"Narrow Panel Mover Base: 5"" Poly Casters; 2 Fixed & 2 Swivel; with 2 Uprights","[RPP-3777] Narrow Panel Mover Base: 5"" Poly Casters; 2 Fixed & 2 Swivel; with 2 Uprights",,2,49,45,3,38
